Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10911.100.zdd,,,timeout,,,,
grafo10918.98.zdd,,,timeout,,,,
grafo10919.97.zdd,,,timeout,,,,
grafo10926.99.zdd,,,timeout,,,,
grafo10928.100.zdd,,,timeout,,,,
grafo10937.100.zdd,,,timeout,,,,
grafo10943.95.zdd,,,timeout,,,,
grafo10945.98.zdd,,,timeout,,,,
grafo10950.97.zdd,,,timeout,,,,
grafo10952.96.zdd,,,timeout,,,,
grafo10958.98.zdd,,,timeout,,,,
grafo10962.100.zdd,,,timeout,,,,
grafo10970.100.zdd,,,timeout,,,,
grafo10972.95.zdd,,,timeout,,,,
grafo10976.92.zdd,,,timeout,,,,
grafo10998.100.zdd,,,timeout,,,,
grafo11000.99.zdd,,,timeout,,,,
grafo11001.97.zdd,,,timeout,,,,
grafo11003.100.zdd,,,timeout,,,,
grafo11008.99.zdd,,,timeout,,,,
grafo11011.100.zdd,,,timeout,,,,
grafo11014.100.zdd,,,timeout,,,,
grafo11015.98.zdd,,,timeout,,,,
grafo11016.98.zdd,,,timeout,,,,
grafo11020.100.zdd,,,timeout,,,,
grafo11035.99.zdd,,,timeout,,,,
grafo11037.99.zdd,,,timeout,,,,
grafo11039.96.zdd,,,timeout,,,,
grafo11044.95.zdd,,,timeout,,,,
grafo11047.92.zdd,,,timeout,,,,
grafo11050.98.zdd,,,timeout,,,,
grafo11056.98.zdd,,,timeout,,,,
grafo11060.99.zdd,,,timeout,,,,
grafo11067.98.zdd,,,timeout,,,,
grafo11069.93.zdd,,,timeout,,,,
grafo11070.94.zdd,,,timeout,,,,
grafo11072.98.zdd,,,timeout,,,,
grafo11073.100.zdd,,,timeout,,,,
grafo11076.97.zdd,,,timeout,,,,
grafo11088.97.zdd,,,timeout,,,,
grafo11096.97.zdd,,,timeout,,,,
grafo11099.99.zdd,,,timeout,,,,
grafo11100.95.zdd,,,timeout,,,,
grafo11101.95.zdd,,,timeout,,,,
grafo11102.98.zdd,,,timeout,,,,
grafo11105.95.zdd,,,timeout,,,,
grafo11106.99.zdd,,,timeout,,,,
grafo11110.99.zdd,,,timeout,,,,
grafo11112.96.zdd,,,timeout,,,,
grafo11113.98.zdd,,,timeout,,,,
grafo11114.93.zdd,,,timeout,,,,
grafo11115.92.zdd,,,timeout,,,,
grafo11119.98.zdd,,,timeout,,,,
grafo11125.100.zdd,,,timeout,,,,
grafo11140.98.zdd,,,timeout,,,,
grafo11142.99.zdd,,,timeout,,,,
grafo11143.98.zdd,,,timeout,,,,
grafo11144.92.zdd,,,timeout,,,,
grafo11145.99.zdd,,,timeout,,,,
grafo11148.99.zdd,,,timeout,,,,
grafo11149.100.zdd,,,timeout,,,,
grafo11157.100.zdd,,,timeout,,,,
grafo11162.100.zdd,,,timeout,,,,
grafo11176.100.zdd,,,timeout,,,,
grafo11178.95.zdd,,,timeout,,,,
grafo11181.95.zdd,,,timeout,,,,
grafo11198.98.zdd,,,timeout,,,,
grafo11201.99.zdd,,,timeout,,,,
grafo11204.99.zdd,,,timeout,,,,
grafo11218.99.zdd,,,timeout,,,,
grafo11223.99.zdd,,,timeout,,,,
grafo11227.100.zdd,,,timeout,,,,
grafo11250.99.zdd,,,timeout,,,,
grafo11251.93.zdd,,,timeout,,,,
grafo11254.99.zdd,,,timeout,,,,
grafo11271.99.zdd,,,timeout,,,,
grafo11280.99.zdd,,,timeout,,,,
grafo11313.96.zdd,,,timeout,,,,
grafo11324.100.zdd,,,timeout,,,,
grafo11335.100.zdd,,,timeout,,,,
grafo11369.96.zdd,,,timeout,,,,
grafo11458.100.zdd,,,timeout,,,,
grafo11469.96.zdd,,,timeout,,,,
grafo11546.97.zdd,,,timeout,,,,
grafo11569.93.zdd,,,timeout,,,,
grafo3224.98.zdd,,,timeout,,,,
grafo3435.99.zdd,,,timeout,,,,
grafo3532.99.zdd,,,timeout,,,,
grafo3680.99.zdd,,,timeout,,,,
grafo3712.95.zdd,,,timeout,,,,
grafo3861.99.zdd,,,timeout,,,,
grafo3890.96.zdd,,,timeout,,,,
grafo3898.99.zdd,,,timeout,,,,
grafo3979.98.zdd,,,timeout,,,,
grafo3995.97.zdd,,,timeout,,,,
grafo4091.99.zdd,,,timeout,,,,
grafo6562.98.zdd,,,timeout,,,,
grafo6625.99.zdd,,,timeout,,,,
grafo6975.39.zdd,,,timeout,,,,
grafo7221.99.zdd,,,timeout,,,,
grafo7263.99.zdd,,,timeout,,,,
grafo7417.39.zdd,,,timeout,,,,
grafo7785.100.zdd,,,timeout,,,,
grafo7797.100.zdd,,,timeout,,,,
grafo7907.80.zdd,,,timeout,,,,
grafo7936.89.zdd,,,timeout,,,,
grafo8008.95.zdd,,,timeout,,,,
grafo8127.78.zdd,,,timeout,,,,
grafo8198.99.zdd,,,timeout,,,,
grafo8223.99.zdd,,,timeout,,,,
grafo8373.100.zdd,,,timeout,,,,
grafo8478.98.zdd,,,timeout,,,,
grafo8490.95.zdd,,,timeout,,,,
grafo8510.100.zdd,,,timeout,,,,
grafo8513.100.zdd,,,timeout,,,,
grafo8549.100.zdd,,,timeout,,,,
grafo8566.98.zdd,,,timeout,,,,
grafo8571.94.zdd,,,timeout,,,,
grafo8673.98.zdd,,,timeout,,,,
grafo8674.100.zdd,,,timeout,,,,
grafo8719.93.zdd,,,timeout,,,,
grafo8739.99.zdd,,,timeout,,,,
grafo8777.98.zdd,,,timeout,,,,
grafo8780.96.zdd,,,timeout,,,,
grafo8791.94.zdd,,,timeout,,,,
grafo8793.100.zdd,,,timeout,,,,
grafo8805.80.zdd,,,timeout,,,,
grafo8812.99.zdd,,,timeout,,,,
grafo8823.93.zdd,,,timeout,,,,
grafo8826.100.zdd,,,timeout,,,,
grafo8857.99.zdd,,,timeout,,,,
grafo8864.98.zdd,,,timeout,,,,
grafo8865.100.zdd,,,timeout,,,,
grafo8867.97.zdd,,,timeout,,,,
grafo8882.100.zdd,,,timeout,,,,
grafo8892.100.zdd,,,timeout,,,,
grafo8893.96.zdd,,,timeout,,,,
grafo8921.98.zdd,,,timeout,,,,
grafo8943.98.zdd,,,timeout,,,,
grafo8963.92.zdd,,,timeout,,,,
grafo8997.96.zdd,,,timeout,,,,
grafo9008.91.zdd,,,timeout,,,,
grafo9357.99.zdd,,,timeout,,,,
grafo9362.98.zdd,,,timeout,,,,
grafo9542.87.zdd,,,timeout,,,,
grafo9691.79.zdd,,,timeout,,,,
grafo9738.100.zdd,,,timeout,,,,
grafo9788.80.zdd,,,timeout,,,,
grafo9973.96.zdd,,,timeout,,,,
grafo9984.96.zdd,,,timeout,,,,
grafo9995.94.zdd,,,timeout,,,,
heart.zdd,,,timeout,,,,
kts15-ptpt-0001.zdd,,,0.1485 (WARNING: 0 solutions),,0,,
kts15-ptpt-0002.zdd,,,0.1715 (WARNING: 0 solutions),,0,,
kts15-ptpt-0003.zdd,,,0.1673,,8,,
kts15-ptpt-0004.zdd,,,0.2603,,1,,
kts15-ptpt-0005.zdd,,,0.1658 (WARNING: 0 solutions),,0,,
kts15-ptpt-0006.zdd,,,0.2362,,8,,
kts15-ptpt-0007.zdd,,,0.2224,,12,,
kts15-ptpt-0008.zdd,,,0.2336 (WARNING: 0 solutions),,0,,
kts15-ptpt-0009.zdd,,,0.2752,,6,,
kts15-ptpt-0010.zdd,,,0.2408 (WARNING: 0 solutions),,0,,
kts15-ptpt-0011.zdd,,,0.2904,,4,,
kts15-ptpt-0012.zdd,,,0.1237,,4,,
kts15-ptpt-0013.zdd,,,0.3415,,24,,
kts15-ptpt-0014.zdd,,,0.3541,,8,,
kts15-ptpt-0015.zdd,,,0.3079,,14,,
kts15-ptpt-0016.zdd,,,0.2549,,6,,
kts15-ptpt-0017.zdd,,,0.2161,,24,,
kts15-ptpt-0018.zdd,,,0.2559,,8,,
kts15-ptpt-0019.zdd,,,0.2744 (WARNING: 0 solutions),,0,,
kts15-ptpt-0020.zdd,,,0.3826,,8,,
kts15-ptpt-0021.zdd,,,0.3788,,72,,
kts21-ptpt-0001.zdd,,,timeout,,,,
kts21-ptpt-0002.zdd,,,timeout,,,,
kts21-ptpt-0003.zdd,,,timeout,,,,
kts21-ptpt-0004.zdd,,,timeout,,,,
kts21-ptpt-0005.zdd,,,timeout,,,,
kts21-ptpt-0006.zdd,,,timeout,,,,
kts21-ptpt-0007.zdd,,,timeout,,,,
kts21-ptpt-0008.zdd,,,timeout,,,,
kts21-ptpt-0009.zdd,,,timeout,,,,
kts21-ptpt-0010.zdd,,,timeout,,,,
kts21-ptpt-0011.zdd,,,timeout,,,,
kts21-ptpt-0012.zdd,,,timeout,,,,
kts21-ptpt-0013.zdd,,,timeout,,,,
kts21-ptpt-0014.zdd,,,timeout,,,,
kts21-ptpt-0015.zdd,,,timeout,,,,
kts21-ptpt-0016.zdd,,,timeout,,,,
kts21-ptpt-0017.zdd,,,timeout,,,,
kts21-ptpt-0018.zdd,,,timeout,,,,
kts21-ptpt-0019.zdd,,,timeout,,,,
kts21-ptpt-0020.zdd,,,timeout,,,,
kts21-ptpt-0021.zdd,,,timeout,,,,
kts21-ptpt-0022.zdd,,,timeout,,,,
kts21-ptpt-0023.zdd,,,timeout,,,,
kts21-ptpt-0024.zdd,,,timeout,,,,
kts21-ptpt-0025.zdd,,,timeout,,,,
kts21-ptpt-0026.zdd,,,timeout,,,,
kts21-ptpt-0027.zdd,,,timeout,,,,
kts21-ptpt-0028.zdd,,,timeout,,,,
kts21-ptpt-0029.zdd,,,timeout,,,,
kts21-ptpt-0030.zdd,,,timeout,,,,
kts21-ptpt-0031.zdd,,,timeout,,,,
kts21-ptpt-0032.zdd,,,timeout,,,,
kts21-ptpt-0033.zdd,,,timeout,,,,
kts21-ptpt-0034.zdd,,,timeout,,,,
kts21-ptpt-0035.zdd,,,timeout,,,,
kts21-ptpt-0036.zdd,,,timeout,,,,
kts21-ptpt-0037.zdd,,,timeout,,,,
kts21-ptpt-0038.zdd,,,timeout,,,,
