Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10143.93.zdd,,,timeout,,,,
grafo10144.98.zdd,,,timeout,,,,
grafo10145.94.zdd,,,timeout,,,,
grafo10146.97.zdd,,,timeout,,,,
grafo10147.94.zdd,,,timeout,,,,
grafo10148.97.zdd,,,timeout,,,,
grafo10149.95.zdd,,,timeout,,,,
grafo10150.95.zdd,,,timeout,,,,
grafo10151.94.zdd,,,timeout,,,,
grafo10152.96.zdd,,,timeout,,,,
grafo10153.100.zdd,,,timeout,,,,
grafo10154.94.zdd,,,timeout,,,,
grafo10155.97.zdd,,,timeout,,,,
grafo10156.97.zdd,,,timeout,,,,
grafo10157.94.zdd,,,timeout,,,,
grafo10158.91.zdd,,,timeout,,,,
grafo10159.95.zdd,,,timeout,,,,
grafo10160.96.zdd,,,timeout,,,,
grafo10161.99.zdd,,,timeout,,,,
grafo10162.93.zdd,,,timeout,,,,
grafo10163.93.zdd,,,timeout,,,,
grafo10164.98.zdd,,,timeout,,,,
grafo10165.96.zdd,,,timeout,,,,
grafo10166.98.zdd,,,timeout,,,,
grafo10167.96.zdd,,,timeout,,,,
grafo10168.95.zdd,,,timeout,,,,
grafo10169.93.zdd,,,timeout,,,,
grafo10170.96.zdd,,,timeout,,,,
grafo10171.99.zdd,,,timeout,,,,
grafo10172.99.zdd,,,timeout,,,,
grafo10173.97.zdd,,,timeout,,,,
grafo10174.95.zdd,,,timeout,,,,
grafo10175.99.zdd,,,timeout,,,,
grafo10176.97.zdd,,,timeout,,,,
grafo10177.96.zdd,,,timeout,,,,
grafo10178.99.zdd,,,timeout,,,,
grafo10179.97.zdd,,,timeout,,,,
grafo1018.29.zdd,,,0.0033,,3,,
grafo10180.98.zdd,,,timeout,,,,
grafo10181.93.zdd,,,timeout,,,,
grafo10182.33.zdd,,,0.0022,,5,,
grafo10183.100.zdd,,,timeout,,,,
grafo10184.100.zdd,,,timeout,,,,
